date,ship,cruise_line,arrival,departure,time_in_port,terminal,call_type,notes,tour_time
2027-10-22,Costa Smeralda,Costa Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-10-23,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-10-24,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-10-24,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-10-25,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-10-25,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-10-26,MSC Seaview,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-10-28,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-10-29,Costa Smeralda,Costa Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-10-30,MSC Divina,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-10-30,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-10-31,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-01,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-11-02,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-02,MSC Seaview,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-06,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-06,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-11-07,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-08,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-11-14,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-15,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-11-15,MSC Splendida,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-11-16,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-16,MSC Seaview,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-21,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-22,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-11-23,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-23,MSC Seaview,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-26,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-28,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-29,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-11-30,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-11-30,MSC Seaview,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-05,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-06,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-12-06,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-07,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-07,MSC Seaview,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-12,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-13,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-12-14,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-14,MSC Seaview,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-16,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-19,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-20,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-12-21,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-21,MSC Seaview,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-26,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-26,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-27,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-12-28,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-12-28,MSC Seaview,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-01-02,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-01-03,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-01-04,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-01-04,MSC Seaview,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-01-05,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-01-09,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-01-10,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-01-11,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-01-11,MSC Seaview,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-01-16,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-01-17,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-01-18,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-01-23,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-01-24,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-01-25,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-01-30,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-01-31,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-02-01,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-02-06,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-02-07,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-02-08,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-02-13,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-02-14,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-02-15,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-02-20,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-02-21,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-02-21,Nieuw Statendam,Holland America Line,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-02-22,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-02-27,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-02-28,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-02-29,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-03-05,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-03-06,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-03-07,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-03-09,Sun Princess,Princess Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-03-12,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-03-13,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-03-14,MSC Lirica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-03-19,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-03-20,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-03-26,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-03-27,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-03-30,Sun Princess,Princess Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-02,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-03,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-04,Enchanted Princess,Princess Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-09,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-12,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-15,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-04-16,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-18,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-19,Sun Princess,Princess Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-20,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-22,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-04-23,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-25,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-29,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-29,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-04-30,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-01,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-02,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-03,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-05,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-06,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-05-07,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-08,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-09,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-10,AIDAstella,AIDA,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-05-10,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-05-11,Sun Princess,Princess Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-13,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-05-14,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-15,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-05-15,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-16,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-17,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-05-20,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-05-21,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-22,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-23,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-24,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-05-25,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-05-27,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-05-28,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-29,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-30,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-05-31,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-05-31,Sun Princess,Princess Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-06-03,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-06-04,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-06-05,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-06-06,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-06-07,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-06-10,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-06-11,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-06-12,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-06-13,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-06-14,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-06-14,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-06-17,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-06-18,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-06-19,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-06-20,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-06-21,AIDAstella,AIDA,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-06-21,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-06-22,Sun Princess,Princess Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-06-24,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-06-24,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-06-25,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-06-26,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-06-27,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-06-28,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-07-01,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-07-02,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-03,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-04,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-04,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-07-05,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-07-08,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-07-09,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-10,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-11,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-12,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-07-12,Sun Princess,Princess Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-14,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-07-15,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-07-16,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-17,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-18,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-19,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-07-22,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-07-23,Enchanted Princess,Princess Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-23,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-24,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-07-24,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-25,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-26,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-07-29,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-07-30,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-07-31,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-01,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-02,AIDAstella,AIDA,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-08-02,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-08-03,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-08-03,Sun Princess,Princess Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-05,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-08-06,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-07,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-08,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-09,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-08-12,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-08-13,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-08-13,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-14,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-15,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-16,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-08-19,MSC Musica,MSC Cruises,,,,,,Schedule entry without verified arrival/departure times.,
2028-08-20,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-21,Arcadia,P & O Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-21,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-22,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-23,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-08-23,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-08-23,Sun Princess,Princess Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-26,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-08-27,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-28,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-29,MSC Seashore,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-08-30,MSC Magnifica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-09-02,MSC Musica,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-09-02,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2028-09-03,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2028-09-04,MSC World Europa,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
